BHK,Price,Location,Area,Furnishing,Tenant_Pref,Full_Title,Page_Found
2 BHK,"₹17,000 /month",Mahagun Mywoods Phase 1,850 sqft(79 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",1
3 BHK,"₹35,000 /month",ACE Divino,"1,565 sqft(145 sqm)",N/A,Not Specified,3 BHK Flat for rent in Noida Extension,1
2 BHK,"₹25,000 /month",Ace City,"1,080 sqft(100 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,1
2 BHK,"₹25,000 /month",C block,"1,615 sqft(150 sqm)",Furnished,Not Specified,"2 BHK Independent Builder Floor for rent in Sigma 4, Greater Noida",1
N/A,"₹55,000 /month",Panchsheel Villas,"1,080 sqft(100 sqm)",Furnished,Not Specified,"5 Bedroom House for rent in Sector 16B, Greater Noida",1
3 BHK,"₹21,000 /month",Arihant Abode,"1,160 sqft(108 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",1
4 BHK,"₹26,000 /month",La Residentia,"1,538 sqft(143 sqm)",Semi-Furnished,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
3 BHK,"₹35,000 /month","Block D Swaran Nagri, Greater Noida","1,000 sqft(93 sqm)",N/A,Not Specified,"3 BHK Independent Builder Floor for rent in Block D Swaran Nagri, Greater Noida",1
4 BHK,"₹44,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,1
3 BHK,"₹23,000 /month",Arihant Abode,"1,160 sqft(108 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",1
3 BHK,"₹36,000 /month",ACE Divino,"1,565 sqft(145 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,1
4 BHK,"₹38,000 /month",ATS Rhapsody,"1,815 sqft(169 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,1
2 BHK,"₹29,000 /month",CRC Sublimis,"1,170 sqft(109 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,1
4 BHK,"₹84,000 /month",Godrej Golf Links Crest,"2,395 sqft(223 sqm)",Furnished,Not Specified,"4 BHK Flat for rent in Sector 27, Greater Noida",1
2 BHK,"₹27,500 /month",Ace City,"1,080 sqft(100 sqm)",Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,1
3 BHK,"₹36,000 /month",ACE Divino,"1,565 sqft(145 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,1
2 BHK,"₹26,500 /month",Casa Woodstock,"1,098 sqft(102 sqm)",Fully Furnished,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",1
3 BHK,"₹23,000 /month",Gaur 16th Avenue,"1,500 sqft(139 sqm)",N/A,Not Specified,3 BHK Flat for rent in Noida Extension,1
N/A,"₹50,000 /month",Paramount Golfmart,"3,008 sqft(279 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Sector ZETA 1, Greater Noida",1
2 BHK,"₹40,000 /month",Jaypee Greens Star Court,"1,550 sqft(144 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Jaypee Greens, Greater Noida",1
3 BHK,"₹50,000 /month",Jaypee Greens Star Court,"2,483 sqft(231 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Jaypee Greens, Greater Noida",1
2 BHK,"₹26,000 /month",Ace City,"1,080 sqft(100 sqm)",Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,1
3 BHK,"₹23,300 /month",ABA Cherry County,"1,206 sqft(112 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
2 BHK,"₹26,000 /month",AFOWO Raksha Addela,"1,080 sqft(100 sqm)",Fully Furnished,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",1
2 BHK,"₹32,000 /month",Gaur City 7th Avenue,"1,075 sqft(100 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Greater Noida West, Greater Noida",1
3 BHK,"₹35,000 /month",CRC Sublimis,"1,815 sqft(169 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,1
4 BHK,"₹43,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,1
4 BHK,"₹42,500 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,1
3 BHK,"₹26,000 /month",Panchsheel Greens 2,"1,510 sqft(140 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",1
2 BHK,"₹27,000 /month",Panchsheel Greens 2,915 sqft(85 sqm),Fully Furnished,Family Preferred,"2 BHK Flat for rent in Sector 16, Greater Noida",1
N/A,"₹38,000 /month",Paramount Golfforeste,"2,185 sqft(203 sqm)",Fully Furnished,Not Specified,"3 Bedroom House for rent in Sector ZETA, Greater Noida",1
N/A,"₹50,000 /month",Godrej Golf Links Crest,"2,359 sqft(219 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",1
4 BHK,"₹57,000 /month",Gaur Saundaryam,"2,590 sqft(241 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
3 BHK,"₹36,000 /month",Gaur Saundaryam,"1,850 sqft(172 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
3 BHK,"₹41,000 /month",Gaur Saundaryam,"2,005 sqft(186 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
4 BHK,"₹42,000 /month",ACE Divino,"1,875 sqft(174 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,1
5 BHK,"₹52,000 /month",ATS Dolce,"2,800 sqft(260 sqm)",N/A,Not Specified,"5 BHK Flat for rent in Sector ZETA 1, Greater Noida",1
2 BHK,"₹23,000 /month",Ajnara Le Garden,995 sqft(92 sqm),Furnished,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",1
2 BHK,"₹20,000 /month",JM Florence,950 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
3 BHK,"₹50,000 /month",Purvanchal Royal City,"1,825 sqft(170 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector Chi 5, Greater Noida",1
2 BHK,"₹19,500 /month",Panchsheel Greens 2,915 sqft(85 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",1
N/A,"₹70,000 /month",Godrej Golf Links Crest,"2,359 sqft(219 sqm)",Furnished,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",1
3 BHK,"₹33,000 /month",Nirala Estate Phase 2,"1,535 sqft(143 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
3 BHK,"₹29,995 /month",Gaur Saundaryam,"1,650 sqft(153 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
N/A,₹1.5 Lac /month,Sun Twilight Metro Street,"4,300 sqft(399 sqm)",Furnished,Not Specified,"5 Bedroom House for rent in Sector 27, Greater Noida",1
2 BHK,"₹24,899 /month",ACE Divino,"1,050 sqft(98 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,1
2 BHK,"₹21,000 /month",Panchsheel Greens 2,"1,105 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",1
3 BHK,"₹29,500 /month",Nirala Estate Phase 2,"1,385 sqft(129 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
3 BHK,"₹19,000 /month",La Residentia,"1,455 sqft(135 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
3 BHK,"₹36,000 /month",Nirala Estate Phase 2,"1,535 sqft(143 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",1
3 BHK,"₹32,000 /month",Amrapali Dream Valley Villas,"1,690 sqft(157 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Greater Noida West, Greater Noida",1
3 BHK,"₹27,000 /month",Coco County,"1,152 sqft(107 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",1
4 BHK,"₹42,500 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,2
3 BHK,"₹26,000 /month",Panchsheel Greens 2,"1,510 sqft(140 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",2
2 BHK,"₹27,000 /month",Panchsheel Greens 2,915 sqft(85 sqm),Fully Furnished,Family Preferred,"2 BHK Flat for rent in Sector 16, Greater Noida",2
N/A,"₹38,000 /month",Paramount Golfforeste,"2,185 sqft(203 sqm)",Fully Furnished,Not Specified,"3 Bedroom House for rent in Sector ZETA, Greater Noida",2
N/A,"₹50,000 /month",Godrej Golf Links Crest,"2,359 sqft(219 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",2
4 BHK,"₹57,000 /month",Gaur Saundaryam,"2,590 sqft(241 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",2
3 BHK,"₹36,000 /month",Gaur Saundaryam,"1,850 sqft(172 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",2
3 BHK,"₹41,000 /month",Gaur Saundaryam,"2,005 sqft(186 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",2
4 BHK,"₹42,000 /month",ACE Divino,"1,875 sqft(174 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,2
5 BHK,"₹52,000 /month",ATS Dolce,"2,800 sqft(260 sqm)",N/A,Not Specified,"5 BHK Flat for rent in Sector ZETA 1, Greater Noida",2
2 BHK,"₹23,000 /month",Ajnara Le Garden,995 sqft(92 sqm),Furnished,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",2
2 BHK,"₹20,000 /month",JM Florence,950 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",2
3 BHK,"₹50,000 /month",Purvanchal Royal City,"1,825 sqft(170 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector Chi 5, Greater Noida",2
2 BHK,"₹19,500 /month",Panchsheel Greens 2,915 sqft(85 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",2
N/A,"₹70,000 /month",Godrej Golf Links Crest,"2,359 sqft(219 sqm)",Furnished,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",2
3 BHK,"₹33,000 /month",Nirala Estate Phase 2,"1,535 sqft(143 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",2
3 BHK,"₹29,995 /month",Gaur Saundaryam,"1,650 sqft(153 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",2
N/A,₹1.5 Lac /month,Sun Twilight Metro Street,"4,300 sqft(399 sqm)",Furnished,Not Specified,"5 Bedroom House for rent in Sector 27, Greater Noida",2
2 BHK,"₹24,899 /month",ACE Divino,"1,050 sqft(98 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,2
2 BHK,"₹21,000 /month",Panchsheel Greens 2,"1,105 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",2
3 BHK,"₹29,500 /month",Nirala Estate Phase 2,"1,385 sqft(129 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",2
3 BHK,"₹19,000 /month",La Residentia,"1,455 sqft(135 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",2
3 BHK,"₹36,000 /month",Nirala Estate Phase 2,"1,535 sqft(143 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",2
